price,distance
67000,0.43
24000,0.72
90000,1.36
23240,0.24
170000,1.53
110000,0.33
120000,0.38
120000,0.75
120000,0.52
85000,0.68
110000,0.75
85000,0.8
38000,1.09
75000,1.02
90000,0.37
85000,1.02
105000,0.08
95000,0.36
67000,0.52
40000,0.82
150000,0.58
70000,0.33
60000,0.4
150000,0.57
85000,0.82
65000,1.05
120000,0.7
120000,0.22
65000,0.18
105000,0.52
92000,0.41
95000,0.31
70000,0.37
100000,0.87
80000,0.08
195000,0.59
90000,0.99
62000,0.21
120000,0.15
70000,0.41
115000,0.41
130000,0.76
75000,0.92
170000,0.69
22000,0.97
38000,2.03
75000,1.19
37000,0.46
70000,0.99
120000,1.32
120000,0.76
130000,0.64
140000,0.65
100000,1.06
160000,0.59
22000,0.97
20000,0.98
32000,0.51
23000,1
20800,0.95
37000,0.63
110000,0.33
95000,0.4
106000,0.77
100000,0.86
42620,0.83
99000,1
43381,0.62
120000,0.71
110000,0.07
120000,0.32
160000,0.66
65000,0.43
70000,0.27
170000,0.31
95000,0.78
120000,0.32
140000,0.9
90000,0.38
57811,0.8
100000,0.79
95000,0.27
100000,0.9
120000,0.66
42000,0.52
53000,1.06
160000,0.66
250000,0.99
25060,0.2
100000,0.48
90000,0.13
95000,0.64
110000,1.21
80000,0.74
73000,1.15
120000,0.65
130000,0.22
120000,0.4
120000,0.34
100000,0.79
115000,0.76
120000,0.57
126000,0.39
70000,0.4
99000,1.21
76000,0.93
79168,0.96
120000,0.65
160000,0.66
125000,0.93
66000,0.41
35000,0.34
200000,0.48
25000,0.85
35000,0.34
69000,1.34
35632,0.91
55000,0.6
63000,0.43
41000,0.35
47785,0.54
42000,0.33
32000,0.54
48000,0.61
69000,1.31
22000,0.73
38300,0.63
50000,0.62
50000,0.62
39800,0.68
35565,0.91
21930,1.12
120000,0.38
33500,0.67
35000,0.54
21930,1.09
35000,1.32
47000,0.61
50000,1.34
36000,0.43
38000,0.54
65000,0.32
35500,0.91
35500,0.91
40000,0.23
58000,0.27
155000,0.45
35500,0.91
35000,0.54
63000,0.27
60000,1.26
35500,0.91
45000,0.99
30000,0.23
35500,0.91
35500,0.91
29000,1.31
43000,0.54
55000,0.89
57000,0.49
38000,0.25
110000,1.02
47000,0.73
47500,0.33
28000,1.1
48000,0.61
33000,0.67
55000,0.77
30000,0.76
55000,0.39
48000,1.34
37000,0.33
68000,0.45
28000,0.94
45000,0.33
38000,0.4
43000,0.42
500000,0.56
30000,0.72
33000,1.3
50000,0.55
48000,0.42
55000,0.7
55000,0.25
40000,0.69
20000,0.74
40000,0.82
30000,0.96
52000,0.25
39000,0.76
60000,0.79
50000,0.78
47000,0.29
33000,0.66
30000,0.98
38000,0.37
34000,1.1
68000,0.46
55000,0.12
50000,0.37
43000,0.78
26000,0.13
38000,1.22
146000,0.8
48000,0.55
55000,1.21
68000,0.46
42000,0.37
35000,0.55
48000,0.45
60000,0.34
32533,0.35
36800,0.34
39897,0.37
36115,0.34
60000,0.25
72000,0.51
33000,1.02
35000,1.21
65000,0.46
35100,0.98
50000,0.5
39413,0.91
36800,0.85
28496,0.85
31140,0.85
37120,0.85
37697,0.85
36264,0.37
47000,0.46
50000,0.48
58000,0.35
45000,0.37
70000,0.38
45000,0.54
42000,0.54
53000,0.74
39897,0.37
65000,0.03
39900,1.32
25000,0.52
35000,0.39
53000,0.74
37000,0.37
50000,0.57
46000,0.48
48000,0.65
40000,0.54
47000,0.29
42000,0.85
50000,0.42
39000,0.46
45000,0.49
39897,0.37
115000,0.49
45500,0.81
43000,0.48
29500,0.24
25000,0.66
35000,0.48
42000,0.48
36000,0.76
31000,0.04
33000,1.13
36000,0.96
50000,1.31
27000,0.48
33000,0.25
27000,1.22
30000,0.41
55000,0.53
60000,0.34
40000,0.52
38000,0.37
38000,0.46
75000,0.42
57000,0.12
48000,0.41
70000,0.46
44900,0.37
43000,0.37
54900,0.72
28500,0.24
37000,0.82
47000,0.55
38000,0.77
48000,0.48
51000,0.55
38000,0.85
40000,0.1
42000,0.37
37000,0.55
30000,0.24
44600,0.37
38000,1.01
43000,0.73
30000,0.55
55000,0.37
42000,0.37
36800,0.85
47000,0.7
53000,0.76
33000,0.25
75000,0.55
35000,0.4
50200,0.39
55000,0.24
30000,1.01
70000,0.48
45000,0.36
37000,0.98
29900,0.24
33000,1.04
28000,0.24
27000,0.76
26500,0.24
46000,1.08
24000,0.05
28000,0.24
28000,0.24
28000,0.24
32000,0.96
55000,0.42
50000,0.82
35000,0.96
70000,0.44
55000,0.25
45000,0.55
52000,0.44
62000,0.35
55000,0.56
22000,0.24
22000,0.38
46000,0.49
40000,0.37
37000,0.46
28500,0.24
42500,0.15
46000,1.08
44000,0.7
36500,0.24
200000,0.74
38000,0.48
33000,0.45
35000,0.31
50000,0.59
53000,0.24
68000,0.03
35500,1.32
32000,0.68
39000,0.56
47000,0.59
52000,0.23
22900,0.57
38000,0.55
46000,0.78
60000,0.03
35000,0.98
40000,1.01
30000,0.67
22000,0.46
32000,1.13
24500,0.46
43000,0.77
25000,0.24
25000,0.24
25000,0.24
22000,0.24
24000,0.38
24000,0.72
36000,0.54
24000,0.24
43000,0.78
22000,0.7
46000,0.56
48000,0.72
56000,0.84
46000,0.2
80000,0.56
65000,0.69
50000,0.31
43000,0.57
70000,0.54
49000,0.5
59000,0.45
27000,0.9
58000,0.36
42000,0.33
48000,0.33
50000,0.65
48000,0.55
40000,0.36
55000,0.62
40000,0.35
35700,0.55
35021,0.93
33216,0.93
33735,0.93
48000,0.33
45000,0.66
45000,0.84
43000,0.59
48000,0.23
47000,0.56
82000,0.49
40000,0.93
40000,0.93
135000,0.71
45000,0.8
