,id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
3560,506215,60000.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,1.0,0.0,0.0,3.0,2.0,1.0,82.0,3.0,594.77,1.85,0.0,2.16,10.61,0.99,234.0,0,0,11.0021,0
3561,506230,60000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0,1.0,0.0,0.0,3.0,2.0,1.0,90.0,3.0,616.92,11.72,0.0,5.43,8.12,1.68,52.0,0,0,11.0021,0
3562,506256,60000.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,3.0,1.0,1.0,96.0,4.0,779.38,1.28,0.0,3.34,0.71,1.62,52.0,0,0,11.0021,0
3563,506276,60000.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,113.0,3.0,496.77,0.0,0.0,2.31,0.0,1.38,52.0,0,0,11.0021,0
3564,506336,60000.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,211.0,3.0,489.4,3.36,0.0,3.33,2.59,1.44,52.0,1,0,11.0021,0
3565,506365,61000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.0,0.0,1.0,0.0,3.0,2.0,1.0,57.0,3.0,366.2,25.03,0.0,4.11,24.58,0.91,52.0,0,0,11.01863,0
3566,506396,61502.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,3.0,2.0,1.0,57.0,3.0,95.43,16.69,0.0,0.17,2.59,0.16,52.99,0,0,11.02682,0
3567,506421,62000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,1.0,0.0,0.0,3.0,2.0,1.0,57.0,4.0,273.93,4.08,0.0,1.02,18.98,26.45,134.82,0,0,11.03489,0
3568,506436,62000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,1.0,62.0,4.0,474.71,1.99,0.0,0.5,16.66,27.01,135.9,0,0,11.03489,0
3569,506448,62000.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,1.0,0.0,3.0,3.0,1.0,64.0,3.0,458.33,67.54,0.0,0.7,2.72,0.15,234.0,0,0,11.03489,0
3570,506478,62000.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,3.0,449.93,4.83,0.0,1.21,7.03,3.49,59.44,0,0,11.03489,0
3571,506479,62000.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,1.0,75.0,3.0,274.97,4.02,0.0,1.01,19.16,26.9,136.28,0,0,11.03489,0
3572,506519,62900.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4.0,0.0,1.0,0.0,3.0,3.0,1.0,72.0,3.0,592.96,37.69,0.0,1.26,6.56,0.33,234.0,0,0,11.0493,0
3573,506553,63000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3.0,0.0,0.0,0.0,3.0,2.0,0.0,63.0,4.0,690.02,2.62,0.0,0.65,3.12,1.47,52.0,0,0,11.05089,0
3574,506555,63000.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,1.0,0.0,0.0,3.0,2.0,1.0,63.0,4.0,570.23,1.55,0.0,0.39,13.4,22.17,119.82,0,0,11.05089,0
3575,506574,63000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,0.0,1.0,0.0,2.0,2.0,1.0,70.0,3.0,416.68,5.43,0.0,1.36,6.47,1.16,52.0,0,0,11.05089,0
3576,506576,63000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,1.0,72.0,4.0,274.97,4.02,0.0,1.01,19.16,26.9,136.28,0,0,11.05089,0
3577,506580,63000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3.0,0.0,1.0,0.0,3.0,2.0,0.0,73.0,3.0,262.4,74.05,0.21,5.79,13.54,0.84,72.66,0,0,11.05089,0
