,price_000,pop_dens,ses,house,area_m2,num_bath,pcn_green,thefts,year,high_ses,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006
2383,52000,753.45,3,0,58,2,2.22,122.0,2004,0,0,0,0,1,0,0
2384,52000,915.16,3,0,62,2,2.06,122.0,2004,0,0,0,0,1,0,0
2385,52000,128.89,3,0,68,1,4.03,122.0,2005,0,0,0,0,0,1,0
2386,52000,570.5,3,0,70,2,2.78,129.12,2003,0,0,0,1,0,0,0
2387,52312,643.03,4,0,57,2,0.7,156.0,2001,0,1,0,0,0,0,0
2388,52430,445.79,3,0,68,2,3.65,122.0,2005,0,0,0,0,0,1,0
2389,52500,541.71,3,1,113,2,5.04,122.14,2006,0,0,0,0,0,0,1
2390,52500,541.71,3,0,113,2,5.04,122.14,2006,0,0,0,0,0,0,1
2391,52900,209.59,3,1,59,2,3.84,122.0,2006,0,0,0,0,0,0,1
2392,53000,570.5,3,0,70,2,2.78,129.12,2004,0,0,0,0,1,0,0
2393,53000,322.81,3,1,119,2,2.72,122.0,2003,0,0,0,1,0,0,0
2394,53000,322.81,3,1,120,2,2.72,122.0,2004,0,0,0,0,1,0,0
2395,53000,276.54,4,1,120,2,3.17,122.0,2004,0,0,0,0,1,0,0
2396,54000,453.89,3,0,74,2,3.9,122.0,2005,0,0,0,0,0,1,0
2397,54000,236.74,3,1,110,1,4.26,122.0,2005,0,0,0,0,0,1,0
2398,54300,387.45,3,0,73,2,5.55,122.0,2005,0,0,0,0,0,1,0
2399,54300,387.45,3,0,73,2,5.55,122.0,2005,0,0,0,0,0,1,0
2400,55000,82.47,3,0,47,1,11.34,156.0,2005,0,0,0,0,0,1,0
2401,55000,499.26,3,0,51,2,9.44,156.0,2005,0,0,0,0,0,1,0
2402,55000,877.94,3,0,62,2,11.7,122.0,2004,0,0,0,0,1,0,0
2403,55000,458.32,3,0,64,1,3.94,122.0,2006,0,0,0,0,0,0,1
2404,55000,371.17,3,0,64,1,3.96,122.0,2005,0,0,0,0,0,1,0
2405,55000,436.86,3,0,64,1,3.91,122.0,2004,0,0,0,0,1,0,0
2406,55000,436.94,4,0,64,1,3.91,122.0,2004,0,0,0,0,1,0,0
2407,55000,884.07,3,0,65,2,8.75,122.0,2004,0,0,0,0,1,0,0
2408,55000,190.48,3,0,67,2,4.64,122.0,2001,0,1,0,0,0,0,0
2409,55000,885.38,3,0,72,2,9.07,122.0,2003,0,0,0,1,0,0,0
2410,55000,632.19,3,0,72,2,1.7,125.72,2006,0,0,0,0,0,0,1
